frequency_hz,s21_db,s21_mag
100.0,-130.5109915918589,2.981607144551667e-07
101.00558217310326,-130.16540008039587,3.1026300608459464e-07
102.02127630127526,-129.81984879178864,3.2285503254051893e-07
103.04718406853331,-129.47433849990946,3.359565207931262e-07
104.08340818141139,-129.12886999273329,3.4958798695171473e-07
105.13005237924207,-128.78344407256333,3.6377076750403803e-07
106.18722144454186,-128.43806155625944,3.785270517727843e-07
107.25502121350186,-128.0927232754682,3.938799156354772e-07
108.33355858658307,-127.74743007685564,4.098533565557413e-07
109.42294153921813,-127.40218282234237,4.264723299756634e-07
110.52327913262182,-127.05698238934039,4.4376278712079055e-07
111.63468152470864,-126.71182967099259,4.617517142711383e-07
112.7572599811217,-126.36672557641398,4.804671735535823e-07
113.8911268863717,-126.02167103093522,4.999383453129466e-07
115.03639575508747,-125.67666697634819,5.201955721212027e-07
116.19318124338115,-125.33171437115311,5.412704044863564e-07
117.36159916032626,-124.98681419080799,5.631956483247416e-07
118.54176647955143,-124.64196742797988,5.86005414262785e-07
119.7338013509515,-124.29717509279737,6.097351688366658e-07
120.93782311251566,-123.9524382131053,6.344217876606734e-07
122.15395230227428,-123.6077578347209,6.601036106376427e-07
123.38231067036702,-123.26313502169108,6.868204992874569e-07
124.62302119123125,-122.91857085655174,7.146138962722126e-07
125.87620807591298,-122.57406644058779,7.435268871995029e-07
127.14199678450272,-122.22962289409475,7.736042647881108e-07
128.42051403869533,-121.88524135664116,8.048925954833274e-07
129.71188783447604,-121.54092298733238,8.374402886121789e-07
131.01624745493524,-121.19666896507462,8.712976681720525e-07
132.33372348321106,-120.85248048884033,9.065170473493334e-07
133.664447815562,-120.50835877793372,9.431528058681243e-07
135.00855367457234,-120.16430507225695,9.812614702725494e-07
136.36617562248838,-119.82032063257661,1.0209017972496338e-06
137.73744957469083,-119.47640674079018,1.0621348601035633e-06
139.12251281330114,-119.13256470019266,1.1050241384957532e-06
140.52150400092503,-118.78879583574303,1.1496356115691817e-06
141.93456319453492,-118.44510149433009,1.196037854579441e-06
143.3618318594913,-118.10148304503795,1.2443021391590418e-06
144.8034528837046,-117.75794187941091,1.2945025373458241e-06
146.25957059194113,-117.41447941171705,1.3467160295107996e-06
147.73033076027122,-117.07109707921084,1.4010226163250939e-06
149.215880630663,-116.72779634239458,1.4575054349104974e-06
150.716368925724,-116.38457868527782,1.5162508793228917e-06
152.23194586358977,-116.04144561563527,1.5773487255226892e-06
153.76276317296225,-115.69839866526259,1.6408922609915562e-06
155.3089741083007,-115.3554393902297,1.7069784191600423e-06
156.87073346516334,-115.01256937113166,1.7757079188158328e-06
158.44819759570538,-114.6697902133365,1.847185408668263e-06
160.04152442433139,-114.32710354723011,1.9215196172500624e-06
161.65087346350518,-113.98451102845755,1.9988235083433994e-06
163.2764058297199,-113.64201433816066,2.0792144421232763e-06
164.91828425962746,-113.2996151832115,2.162814342217416e-06
166.57667312633004,-112.95731529644172,2.2497498688881813e-06
168.25173845583691,-112.61511643686673,2.340152598548793e-06
169.94364794368533,-112.27302038990527,2.4341592098324602e-06
171.65257097172838,-111.93102896759339,2.5319116764402465e-06
173.37867862509353,-111.58914400879246,2.633557467000537e-06
175.12214370930965,-111.24736737939139,2.7392497521799903e-06
176.88314076760673,-110.90570097250219,2.849147619293654e-06
178.66184609839095,-110.56414670864818,2.9634162946694668e-06
180.45843777289375,-110.2227065359456,3.0822273740300437e-06
182.27309565299862,-109.881382430277,3.205759061162961e-06
184.10600140924865,-109.54017639545631,3.3341964151590592e-06
185.9573385390335,-109.19909046338555,3.4677316065064007e-06
187.8272923849593,-108.85812669420262,3.6065641823365726e-06
189.71605015340498,-108.51728717641906,3.7509013411290027e-06
191.62380093326348,-108.17657402704805,3.900958217187651e-06
193.55073571487125,-107.83598939172215,4.056958175214245e-06
195.4970474091302,-107.49553544479959,4.219133115311784e-06
197.46293086681985,-107.15521438945933,4.3877237887615816e-06
199.44858289810384,-106.81502845778428,4.56298012492745e-06
201.45420229223444,-106.47497991083156,4.745161569651091e-06
